2024-04-16 10:50:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 10:50:47 [main] INFO  s.springdays.SpringDaysApplication - Starting SpringDaysApplication using Java 21.0.2 with PID 4352 (D:\ПнаЯВУ Java\springdays\target\classes started by User in D:\ПнаЯВУ Java\springdays)
2024-04-16 10:50:47 [main] INFO  s.springdays.SpringDaysApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-16 10:50:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 10:50:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 2 JPA repository interfaces.
2024-04-16 10:50:48 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-16 10:50:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-16 10:50:48 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-16 10:50:48 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-16 10:50:48 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-16 10:50:48 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1604 ms
2024-04-16 10:50:49 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-16 10:50:49 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-04-16 10:50:49 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-16 10:50:49 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-16 10:50:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-16 10:50:49 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@26a45089
2024-04-16 10:50:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 10:50:50 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 10:50:50 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 10:50:50 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 10:50:51 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 10:50:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 10:50:51 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 10:50:51 [main] INFO  s.springdays.SpringDaysApplication - Started SpringDaysApplication in 4.641 seconds (process running for 5.759)
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.s.controller.CountryController - Finding all countries
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.springdays.aop.LoggingAspect - Entering method: findAll
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.springdays.aop.LoggingAspect - Method arguments: null
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.springdays.service.CountryService - Текущее количество запросов: 1
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.springdays.aop.LoggingAspect - Exiting method: findAll, with result: [CountryDto(id=10, name=Австралия, capital=Канберра, population=26000000, language=Английский, days=null), CountryDto(id=11, name=Бразилия, capital=Бразилиа, population=212559417, language=Португальский, days=null), CountryDto(id=12, name=Франция, capital=Париж, population=67186638, language=Французский, days=null), CountryDto(id=13, name=Италия, capital=Рим, population=60360000, language=Итальянский, days=null), CountryDto(id=14, name=Германия, capital=Берлин, population=83783942, language=Немецкий, days=null)]
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.springdays.aop.LoggingAspect - Method: findAll has completed
2024-04-16 10:51:27 [http-nio-8080-exec-1] INFO  s.s.controller.CountryController - Found 5 countries
2024-04-16 11:44:53 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=26m316ms148µs600ns).
2024-04-16 12:12:06 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=20m43s857ms444µs100ns).
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.s.controller.CountryController - Finding all countries
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.springdays.aop.LoggingAspect - Entering method: findAll
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.springdays.aop.LoggingAspect - Method arguments: null
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.springdays.service.CountryService - Текущее количество запросов: 2
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.springdays.aop.LoggingAspect - Exiting method: findAll, with result: [CountryDto(id=10, name=Австралия, capital=Канберра, population=26000000, language=Английский, days=null), CountryDto(id=11, name=Бразилия, capital=Бразилиа, population=212559417, language=Португальский, days=null), CountryDto(id=12, name=Франция, capital=Париж, population=67186638, language=Французский, days=null), CountryDto(id=13, name=Италия, capital=Рим, population=60360000, language=Итальянский, days=null), CountryDto(id=14, name=Германия, capital=Берлин, population=83783942, language=Немецкий, days=null)]
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.springdays.aop.LoggingAspect - Method: findAll has completed
2024-04-16 12:12:58 [http-nio-8080-exec-5] INFO  s.s.controller.CountryController - Found 5 countries
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.s.controller.CountryController - Saving multiple days for a country
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.springdays.aop.LoggingAspect - Entering method: bulkSaveDays
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.springdays.aop.LoggingAspect - Method arguments: [CountryDto(id=null, name=Канада, capital=Оттава, population=38062000, language=Английский, Французский, days=[DayDto(id=null, location=Торонто, coordinates=43.6532, -79.3832, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:00, timeOfSunset=20:00, weatherConditions=Ясно), DayDto(id=null, location=Ванкувер, coordinates=49.2827, -123.1207, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:10, timeOfSunset=20:10, weatherConditions=Облачно)]), CountryDto(id=null, name=Испания, capital=Мадрид, population=47190422, language=Испанский, days=[DayDto(id=null, location=Барселона, coordinates=41.3851, 2.1734, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:20, timeOfSunset=20:20, weatherConditions=Ясно), DayDto(id=null, location=Мадрид, coordinates=40.4168, -3.7038, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:30, timeOfSunset=20:30, weatherConditions=Облачно)]), CountryDto(id=null, name=Япония, capital=Токио, population=126476461, language=Японский, days=[DayDto(id=null, location=Токио, coordinates=35.6895, 139.6917, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:40, timeOfSunset=20:40, weatherConditions=Ясно), DayDto(id=null, location=Осака, coordinates=34.6937, 135.5021, dateOfSunriseSunset=2024-09-06, timeOfSunrise=05:50, timeOfSunset=20:50, weatherConditions=Облачно)]), CountryDto(id=null, name=Китай, capital=Пекин, population=1439323776, language=Китайский, days=[DayDto(id=null, location=Шанхай, coordinates=31.2304, 121.4737, dateOfSunriseSunset=2024-09-06, timeOfSunrise=06:00, timeOfSunset=21:00, weatherConditions=Ясно), DayDto(id=null, location=Гуанчжоу, coordinates=23.1291, 113.2644, dateOfSunriseSunset=2024-09-06, timeOfSunrise=06:10, timeOfSunset=21:10, weatherConditions=Облачно)]), CountryDto(id=null, name=Индия, capital=Новая Дели, population=1380004385, language=Хинди, Английский, days=[DayDto(id=null, location=Мумбаи, coordinates=19.0760, 72.8777, dateOfSunriseSunset=2024-09-06, timeOfSunrise=06:20, timeOfSunset=21:20, weatherConditions=Ясно), DayDto(id=null, location=Дели, coordinates=28.7041, 77.1025, dateOfSunriseSunset=2024-09-06, timeOfSunrise=06:30, timeOfSunset=21:30, weatherConditions=Облачно)])]
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.springdays.aop.LoggingAspect - Exiting method: bulkSaveDays, with result: null
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.springdays.aop.LoggingAspect - Method: bulkSaveDays has completed
2024-04-16 12:16:04 [http-nio-8080-exec-8] INFO  s.s.controller.CountryController - Days saved successfully for a country
2024-04-16 13:15:34 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=57m57s546ms686µs900ns).
2024-04-16 13:15:52 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 13:15:52 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-16 13:15:52 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
